Titre;Date de sortie;D�veloppeur;Editeur;Genres;Franchise;Note Moyenne;Plateformes
Balatro;Feb 20, 2024;LocalThunk;PlayStack;Card Game;;4,29;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox Series X|S
Elden Ring - Shadow of the Erdtree;Jan 01, 2024;;;;;4,5;PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Final Fantasy VII Rebirth;Feb 29, 2024;Square Enix;Square Enix;Action , Role-Playing;Compilation of Final Fantasy VII , Final Fantasy;4,3;PlayStation 5
Persona 3 Reload;Feb 2, 2024;Atlus Co,, Ltd, , P Studio;Sega;Role-Playing;Megami Tensei , Persona , Persona 3 , Shin Megami Tensei;4,4;PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Astro Bot;Sep 6, 2024;Asobi Team;Sony Computer Entertainment America;Platformer;Astro Bot;4,7;PlayStation 5
Helldivers II;Feb 8, 2024;Arrowhead Game Studios;Sony Computer Entertainment America;Action;Helldivers;4,01;PC, PlayStation 5
Silent Hill 2;Oct 8, 2024;Bloober team;Konami Corporation;Action-Adventure;Silent Hill;4,43;PC, PlayStation 5
The Legend of Zelda: Echoes of Wisdom;Sep 26, 2024;Grezzo , Nintendo EPD;Nintendo;Action-Adventure;The Legend of Zelda;3,99;Nintendo Switch
Animal Well;May 9, 2024;Shared Memory;Shared Memory;Adventure , Platformer , Puzzle;;4,09;Nintendo Switch, PC, PlayStation 5
Prince of Persia: The Lost Crown;Jan 18, 2024;Ubisoft Montpellier Studios;Ubisoft Entertainment;Action , Platformer;Prince of Persia;4,13;Amazon Luna, Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Metaphor: ReFantazio;Oct 11, 2024;Atlus Co,, Ltd, , Studio Zero;Atlus Co,, Ltd, , Sega;Role-Playing;;4,4;PC, PlayStation 4, PlayStation 5, Xbox Series X|S
Palworld;Jan 19, 2024;Pocket Pair Inc,;Pocket Pair Inc,;Action , Simulation;;3,34;PC, Xbox One, Xbox Series X|S
