Titre;Date de sortie;Plateformes;Genres;Mode de jeu;Développeur;Éditeur;Franchise;Note Moyenne
Balatro;2024;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox Series X|S;;;;;;(4.29 average Grouvee user rating)
Elden Ring - Shadow of the Erdtree;2024;PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S;;;;;;(4.50 average Grouvee user rating)
Final Fantasy VII Rebirth;2024;PlayStation 5;;;;;;(4.30 average Grouvee user rating)
Persona 3 Reload;2024;PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S;;;;;;(4.40 average Grouvee user rating)
Astro Bot;2024;PlayStation 5;;;;;;(4.70 average Grouvee user rating)
Helldivers II;2024;PC, PlayStation 5;;;;;;(4.01 average Grouvee user rating)
Silent Hill 2;2024;PC, PlayStation 5;;;;;;(4.43 average Grouvee user rating)
The Legend of Zelda: Echoes of Wisdom;2024;Nintendo Switch;;;;;;(3.99 average Grouvee user rating)
Animal Well;2024;Nintendo Switch, PC, PlayStation 5;;;;;;(4.09 average Grouvee user rating)
Prince of Persia: The Lost Crown;2024;Amazon Luna, Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S;;;;;;(4.13 average Grouvee user rating)
Metaphor: ReFantazio;2024;PC, PlayStation 4, PlayStation 5, Xbox Series X|S;;;;;;(4.40 average Grouvee user rating)
Palworld;2024;PC, Xbox One, Xbox Series X|S;;;;;;(3.34 average Grouvee user rating)
Senua's Saga: Hellblade II;2024;PC, Xbox Series X|S;;;;;;(3.53 average Grouvee user rating)
Indiana Jones and the Great Circle;2024;PC, PlayStation 5, Xbox Series X|S;;;;;;(4.09 average Grouvee user rating)
Warhammer 40,000: Space Marine II;2024;PC, PlayStation 5, Xbox Series X|S;;;;;;(3.81 average Grouvee user rating)
Dragon Age: The Veilguard;2024;PC, PlayStation 5, Xbox Series X|S;;;;;;(3.30 average Grouvee user rating)
Call of Duty: Black Ops 6;2024;PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S;;;;;;(3.46 average Grouvee user rating)
Tekken 8;2024;PC, PlayStation 5, Xbox Series X|S;;;;;;(4.06 average Grouvee user rating)
Marvel Rivals;2024;PC, PlayStation 5, Xbox Series X|S;;;;;;(3.62 average Grouvee user rating)
Like a Dragon: Infinite Wealth;2024;PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S;;;;;;(4.35 average Grouvee user rating)
Dragon's Dogma II;2024;PC, PlayStation 5, Xbox Series X|S;;;;;;(3.49 average Grouvee user rating)
Black Myth: Wukong;2024;PC, PlayStation 5, Xbox Series X|S;;;;;;(4.15 average Grouvee user rating)
Mouthwashing;2024;PC;;;;;;(4.02 average Grouvee user rating)
Still Wakes the Deep;2024;PC, PlayStation 5, Xbox Series X|S;;;;;;(3.61 average Grouvee user rating)
Stellar Blade;2024;PlayStation 5;;;;;;(4.00 average Grouvee user rating)
Little Kitty, Big City;2024;Nintendo Switch, PC, Xbox One, Xbox Series X|S;;;;;;(3.73 average Grouvee user rating)
Unicorn Overlord;2024;Nintendo Switch, PlayStation 4, PlayStation 5, Xbox Series X|S;;;;;;(4.14 average Grouvee user rating)
Paper Mario: The Thousand-Year Door;2024;Nintendo Switch;;;;;;(4.32 average Grouvee user rating)
Nine Sols;2024;PC, PlayStation 5, Xbox Series X|S;;;;;;(4.15 average Grouvee user rating)
The Plucky Squire;2024;Nintendo Switch, PC, PlayStation 5, Xbox Series X|S;;;;;;(3.19 average Grouvee user rating)
Another Crab's Treasure;2024;Nintendo Switch, PC, PlayStation 5, Xbox One, Xbox Series X|S;;;;;;(3.58 average Grouvee user rating)
Zenless Zone Zero;2024;Android, PC, PlayStation 5, iPhone;;;;;;(3.22 average Grouvee user rating)
Thank Goodness You're Here;2024;Nintendo Switch, PC, PlayStation 5;;;;;;(3.84 average Grouvee user rating)
Silent Hill: The Short Message;2024;PlayStation 5;;;;;;(2.46 average Grouvee user rating)
Princess Peach Showtime!;2024;Nintendo Switch;;;;;;(3.20 average Grouvee user rating)
Star Wars Outlaws;2024;PC, PlayStation 5, Xbox Series X|S;;;;;;(3.53 average Grouvee user rating)
Indika;2024;PC;;;;;;(3.61 average Grouvee user rating)
Dragon Ball: Sparking! Zero;2024;PC, PlayStation 5, Xbox Series X|S;;;;;;(3.81 average Grouvee user rating)
Hades II;2024;PC;;;;;;(4.41 average Grouvee user rating)
Banishers: Ghosts of New Eden;2024;PC, PlayStation 5, Xbox Series X|S;;;;;;(3.53 average Grouvee user rating)
Granblue Fantasy: Relink;2024;PC, PlayStation 4, PlayStation 5;;;;;;(3.81 average Grouvee user rating)
Alone in the Dark;2024;PC, PlayStation 5, Xbox Series X|S;;;;;;(3.07 average Grouvee user rating)
Neva;2024;Nintendo Switch, PC, PlayStation 5, Xbox Series X|S;;;;;;(4.11 average Grouvee user rating)
The Rise of the Golden Idol;2024;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S;;;;;;(4.14 average Grouvee user rating)
Suicide Squad: Kill the Justice League;2024;PC, PlayStation 5, Xbox Series X|S;;;;;;(2.45 average Grouvee user rating)
Super Mario Party Jamboree;2024;Nintendo Switch;;;;;;(3.98 average Grouvee user rating)
Sonic X Shadow Generations;2024;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S;;;;;;(4.29 average Grouvee user rating)
MiSide;2024;PC;;;;;;(3.98 average Grouvee user rating)
Crow Country;2024;Nintendo Switch, PC, PlayStation 5, Xbox Series X|S;;;;;;(4.05 average Grouvee user rating)
Kunitsu-Gami: Path of the Goddess;2024;PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S;;;;;;(3.82 average Grouvee user rating)
Content Warning;2024;PC;;;;;;(3.27 average Grouvee user rating)
1000xResist;2024;Nintendo Switch, PC;;;;;;(4.14 average Grouvee user rating)
Lorelei and the Laser Eyes;2024;Nintendo Switch, PC;;;;;;(4.29 average Grouvee user rating)
Duck Detective: The Secret Salami;2024;Linux, Mac, PC;;;;;;(3.49 average Grouvee user rating)
Minishoot' Adventures;2024;PC;;;;;;(4.34 average Grouvee user rating)
S.T.A.L.K.E.R. 2: Heart of Chornobyl;2024;PC, Xbox Series X|S;;;;;;(3.45 average Grouvee user rating)
Mario vs. Donkey Kong;2024;Nintendo Switch;;;;;;(3.26 average Grouvee user rating)
Pepper Grinder;2024;Nintendo Switch, PC;;;;;;(3.44 average Grouvee user rating)
Botany Manor;2024;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S;;;;;;(3.66 average Grouvee user rating)
Nobody Wants to Die;2024;PC, PlayStation 5, Xbox Series X|S;;;;;;(3.21 average Grouvee user rating)
Open Roads;2024;PC, PlayStation 5, Xbox Series X|S;;;;;;(3.10 average Grouvee user rating)
Pacific Drive;2024;PC, PlayStation 5;;;;;;(3.22 average Grouvee user rating)
Eiyuden Chronicle: Hundred Heroes;2024;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S;;;;;;(3.68 average Grouvee user rating)
Final Fantasy XIV: Dawntrail;2024;Mac, PC, PlayStation 4, PlayStation 5, Xbox Series X|S;;;;;;(3.46 average Grouvee user rating)
Shin Megami Tensei V: Vengeance;2024;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S;;;;;;(4.22 average Grouvee user rating)
Mario & Luigi: Brothership;2024;Nintendo Switch;;;;;;(3.47 average Grouvee user rating)
Rise of the Rōnin;2024;PlayStation 5;;;;;;(3.67 average Grouvee user rating)
Turnip Boy Robs a Bank;2024;Android, Nintendo Switch, PC, Xbox One, Xbox Series X|S, iPad, iPhone;;;;;;(3.41 average Grouvee user rating)
Until Dawn;2024;PC, PlayStation 5;;;;;;(3.44 average Grouvee user rating)
Life is Strange: Double Exposure;2024;PC, PlayStation 5, Xbox Series X|S;;;;;;(2.96 average Grouvee user rating)
Tales of Kenzera Zau;2024;Nintendo Switch, PC, PlayStation 5, Xbox Series X|S;;;;;;(3.14 average Grouvee user rating)
Wuthering Waves;2024;Android, PC, iPad, iPhone;;;;;;(3.60 average Grouvee user rating)
Frostpunk 2;2024;PC, PlayStation 5, Xbox Series X|S;;;;;;(3.63 average Grouvee user rating)
XDefiant;2024;PC, PlayStation 5, Xbox Series X|S;;;;;;(2.98 average Grouvee user rating)
Dungeons of Hinterberg;2024;PC, Xbox Series X|S;;;;;;(3.86 average Grouvee user rating)
UFO 50;2024;PC;;;;;;(3.93 average Grouvee user rating)
Deep Rock Galactic: Survivor;2024;PC;;;;;;(3.71 average Grouvee user rating)
Tomb Raider I-II-III Remastered;2024;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S;;;;;;(3.73 average Grouvee user rating)
Harold Halibut;2024;PC, PlayStation 5, Xbox Series X|S;;;;;;(3.62 average Grouvee user rating)
Chained Together;2024;PC;;;;;;(3.28 average Grouvee user rating)
Portal: Revolution;2024;Linux, PC;;;;;;(3.89 average Grouvee user rating)
Flintlock: The Siege of Dawn;2024;PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S;;;;;;(3.14 average Grouvee user rating)
Children of the Sun;2024;PC;;;;;;(3.64 average Grouvee user rating)
Path of Exile 2;2024;PC, PlayStation 5, Xbox Series X|S;;;;;;(4.06 average Grouvee user rating)
Dragon Quest III HD-2D Remake;2024;Nintendo Switch, PC, PlayStation 5, Xbox Series X|S;;;;;;(3.66 average Grouvee user rating)
Manor Lords;2024;PC, Xbox One, Xbox Series X|S;;;;;;(3.65 average Grouvee user rating)
The First Descendant;2024;PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S;;;;;;(3.15 average Grouvee user rating)
Anger Foot;2024;PC;;;;;;(3.41 average Grouvee user rating)
Tactical Breach Wizards;2024;PC;;;;;;(4.06 average Grouvee user rating)
Emio – The Smiling Man: Famicom Detective Club;2024;Nintendo Switch;;;;;;(3.94 average Grouvee user rating)
Age of Mythology: Retold;2024;PC, Xbox Series X|S;;;;;;(3.75 average Grouvee user rating)
Sheepy: A Short Adventure;2024;PC;;;;;;(3.81 average Grouvee user rating)
Penny's Big Breakaway;2024;Nintendo Switch, PC, PlayStation 5, Xbox Series X|S;;;;;;(3.13 average Grouvee user rating)
WWE 2K24;2024;PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S;;;;;;(3.50 average Grouvee user rating)
Mullet Mad Jack;2024;PC;;;;;;(3.72 average Grouvee user rating)
The Casting of Frank Stone;2024;PC, PlayStation 5, Xbox Series X|S;;;;;;(3.03 average Grouvee user rating)
Another Code: Recollection;2024;Nintendo Switch;;;;;;(3.68 average Grouvee user rating)
The Thaumaturge;2024;PC;;;;;;(3.43 average Grouvee user rating)
Celeste 64: Fragments of the Mountain;2024;Linux, PC;;;;;;(3.41 average Grouvee user rating)
Home Safety Hotline;2024;PC;;;;;;(3.38 average Grouvee user rating)
Supermarket Simulator;2024;PC;;;;;;(3.58 average Grouvee user rating)
Contra: Operation Galuga;2024;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S;;;;;;(3.19 average Grouvee user rating)
EA Sports College Football 25;2024;PlayStation 5, Xbox Series X|S;;;;;;(3.85 average Grouvee user rating)
Cat Quest III;2024;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S;;;;;;(3.88 average Grouvee user rating)
World of Warcraft: The War Within;2024;Mac, PC;;;;;;(3.46 average Grouvee user rating)
