Titre;Identifiant unique;Date de sortie;;Développeur;Editeur;Genres;Franchise;Note Moyenne;Plateformes
Balatro;https://www.grouvee.com/games/99144-balatro/;Feb 20, 2024;;LocalThunk;PlayStack;Card Game;;4.29;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox Series X|S
Elden Ring - Shadow of the Erdtree;https://www.grouvee.com/games/99131-elden-ring-shadow-of-the-erdtree/;Jul 01, 2024;;;;;;4.50;PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Final Fantasy VII Rebirth;https://www.grouvee.com/games/90545-final-fantasy-vii-rebirth/;Feb 29, 2024;;Square Enix;Square Enix;Action , Role-Playing;Compilation of Final Fantasy VII , Final Fantasy;4.30;PlayStation 5
Persona 3 Reload;https://www.grouvee.com/games/97096-persona-3-reload/;Feb 2, 2024;;Atlus Co., Ltd. , P Studio;Sega;Role-Playing;Megami Tensei , Persona , Persona 3 , Shin Megami Tensei;4.40;PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Astro Bot;https://www.grouvee.com/games/100040-astro-bot/;Sep 6, 2024;;Asobi Team;Sony Computer Entertainment America;Platformer;Astro Bot;4.70;PlayStation 5
Helldivers II;https://www.grouvee.com/games/96929-helldivers-ii/;Feb 8, 2024;;Arrowhead Game Studios;Sony Computer Entertainment America;Action;Helldivers;4.01;PC, PlayStation 5
Silent Hill 2;https://www.grouvee.com/games/94905-silent-hill-2/;Oct 8, 2024;;Bloober team;Konami Corporation;Action-Adventure;Silent Hill;4.43;PC, PlayStation 5
The Legend of Zelda: Echoes of Wisdom;https://www.grouvee.com/games/100415-the-legend-of-zelda-echoes-of-wisdom/;Sep 26, 2024;;Grezzo , Nintendo EPD;Nintendo;Action-Adventure;The Legend of Zelda;3.99;Nintendo Switch
Animal Well;https://www.grouvee.com/games/91211-animal-well/;May 9, 2024;;Shared Memory;Shared Memory;Adventure , Platformer , Puzzle;;4.09;Nintendo Switch, PC, PlayStation 5
Prince of Persia: The Lost Crown;https://www.grouvee.com/games/97086-prince-of-persia-the-lost-crown/;Jan 18, 2024;;Ubisoft Montpellier Studios;Ubisoft Entertainment;Action , Platformer;Prince of Persia;4.13;Amazon Luna, Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Metaphor: ReFantazio;https://www.grouvee.com/games/55382-metaphor-refantazio/;Oct 11, 2024;;Atlus Co., Ltd. , Studio Zero;Atlus Co., Ltd. , Sega;Role-Playing;;4.40;PC, PlayStation 4, PlayStation 5, Xbox Series X|S
Palworld;https://www.grouvee.com/games/87999-palworld/;Jan 19, 2024;;Pocket Pair Inc.;Pocket Pair Inc.;Action , Simulation;;3.34;PC, Xbox One, Xbox Series X|S
Senua's Saga: Hellblade II;https://www.grouvee.com/games/79490-senuas-saga-hellblade-ii/;May 21, 2024;;Ninja Theory Ltd.;Microsoft Studios , Xbox Game Studios;Action-Adventure;Hellblade;3.53;PC, Xbox Series X|S
Indiana Jones and the Great Circle;https://www.grouvee.com/games/86411-indiana-jones-and-the-great-circle/;Dec 9, 2024;;MachineGames;Bethesda Softworks , Lucasfilm Games;Action-Adventure;Indiana Jones;4.09;PC, PlayStation 5, Xbox Series X|S
