Titre;Identifiant unique;Date de sortie;Plateformes;Genres;Mode de jeu;Développeur;Éditeur;Franchise;Note Moyenne;Popularité
Balatro;https://www.grouvee.com/games/99144-balatro/;Feb 20, 2024;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox Series X|S;;;;;;(4.29 average Grouvee user rating);
Elden Ring - Shadow of the Erdtree;https://www.grouvee.com/games/99131-elden-ring-shadow-of-the-erdtree/;2024;PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S;;;;;;(4.50 average Grouvee user rating);
Final Fantasy VII Rebirth;https://www.grouvee.com/games/90545-final-fantasy-vii-rebirth/;Feb 29, 2024;PlayStation 5;;;;;;(4.30 average Grouvee user rating);
Persona 3 Reload;https://www.grouvee.com/games/97096-persona-3-reload/;Feb 2, 2024;PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S;;;;;;(4.40 average Grouvee user rating);
Astro Bot;https://www.grouvee.com/games/100040-astro-bot/;Sep 6, 2024;PlayStation 5;;;;;;(4.70 average Grouvee user rating);
Helldivers II;https://www.grouvee.com/games/96929-helldivers-ii/;Feb 8, 2024;PC, PlayStation 5;;;;;;(4.01 average Grouvee user rating);
Silent Hill 2;https://www.grouvee.com/games/94905-silent-hill-2/;Oct 8, 2024;PC, PlayStation 5;;;;;;(4.43 average Grouvee user rating);
The Legend of Zelda: Echoes of Wisdom;https://www.grouvee.com/games/100415-the-legend-of-zelda-echoes-of-wisdom/;Sep 26, 2024;Nintendo Switch;;;;;;(3.99 average Grouvee user rating);
Animal Well;https://www.grouvee.com/games/91211-animal-well/;May 9, 2024;Nintendo Switch, PC, PlayStation 5;;;;;;(4.09 average Grouvee user rating);
Prince of Persia: The Lost Crown;https://www.grouvee.com/games/97086-prince-of-persia-the-lost-crown/;Jan 18, 2024;Amazon Luna, Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S;;;;;;(4.13 average Grouvee user rating);
Metaphor: ReFantazio;https://www.grouvee.com/games/55382-metaphor-refantazio/;Oct 11, 2024;PC, PlayStation 4, PlayStation 5, Xbox Series X|S;;;;;;(4.40 average Grouvee user rating);
